"year","plant_name","aea_energy_region","source","data_version","fuel_type","generation","acep_region"
2011,"Salmon Creek 1","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"Salmon Creek 1","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"Salmon Creek 1","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"Salmon Creek 1","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"Snettisham","Southeast","EIA","Final","Oil",NA,"Coastal"
2011,"Snettisham","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"Snettisham","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"Snettisham","Southeast","EIA","Final","Hydro",263749,"Coastal"
2011,"Snettisham","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"Snettisham","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"Snettisham","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"Snettisham","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"Alaska Environmental","Railbelt","EIA","Final","Oil",NA,"Railbelt"
2011,"Alaska Environmental","Railbelt","EIA","Final","Gas",NA,"Railbelt"
2011,"Alaska Environmental","Railbelt","EIA","Final","Coal",NA,"Railbelt"
2011,"Alaska Environmental","Railbelt","EIA","Final","Hydro",NA,"Railbelt"
2011,"Alaska Environmental","Railbelt","EIA","Final","Wind",1394,"Railbelt"
2011,"Alaska Environmental","Railbelt","EIA","Final","Solar",NA,"Railbelt"
2011,"Alaska Environmental","Railbelt","EIA","Final","Storage",NA,"Railbelt"
2011,"Alaska Environmental","Railbelt","EIA","Final","Other",NA,"Railbelt"
2011,"Allakaket","Yukon-Koyukuk/Upper Tanana","PCE","Final","Oil",655.368,"Rural Remote"
2011,"Allakaket","Yukon-Koyukuk/Upper Tanana","PCE","Final","Gas",NA,"Rural Remote"
2011,"Allakaket","Yukon-Koyukuk/Upper Tanana","PCE","Final","Coal",NA,"Rural Remote"
2011,"Allakaket","Yukon-Koyukuk/Upper Tanana","PCE","Final","Hydro",NA,"Rural Remote"
2011,"Allakaket","Yukon-Koyukuk/Upper Tanana","PCE","Final","Wind",NA,"Rural Remote"
2011,"Allakaket","Yukon-Koyukuk/Upper Tanana","PCE","Final","Solar",NA,"Rural Remote"
2011,"Allakaket","Yukon-Koyukuk/Upper Tanana","PCE","Final","Storage",NA,"Rural Remote"
2011,"Allakaket","Yukon-Koyukuk/Upper Tanana","PCE","Final","Other",NA,"Rural Remote"
2011,"Bettles","Yukon-Koyukuk/Upper Tanana","PCE","Final","Oil",573.845,"Rural Remote"
2011,"Bettles","Yukon-Koyukuk/Upper Tanana","PCE","Final","Gas",NA,"Rural Remote"
2011,"Bettles","Yukon-Koyukuk/Upper Tanana","PCE","Final","Coal",NA,"Rural Remote"
2011,"Bettles","Yukon-Koyukuk/Upper Tanana","PCE","Final","Hydro",NA,"Rural Remote"
2011,"Bettles","Yukon-Koyukuk/Upper Tanana","PCE","Final","Wind",NA,"Rural Remote"
2011,"Bettles","Yukon-Koyukuk/Upper Tanana","PCE","Final","Solar",NA,"Rural Remote"
2011,"Bettles","Yukon-Koyukuk/Upper Tanana","PCE","Final","Storage",NA,"Rural Remote"
2011,"Bettles","Yukon-Koyukuk/Upper Tanana","PCE","Final","Other",NA,"Rural Remote"
