"aea_region","year","acep_region","prime_mover","capacity"
"Bristol Bay",2013,"Rural Remote","Hydro",0.824
"Bristol Bay",2013,"Rural Remote","Wind",0.224
"Bristol Bay",2013,"Rural Remote","Utility Solar",0
"Bristol Bay",2013,"Rural Remote","Rooftop Solar",0
"Bristol Bay",2013,"Rural Remote","Storage",0
"Bristol Bay",2013,"Rural Remote","Landfill Gas",0
"Bristol Bay",2018,"Rural Remote","Fossil Turbines",0
"Bristol Bay",2018,"Rural Remote","Recip Engines",29.868
"Bristol Bay",2018,"Rural Remote","Hydro",1.067
"Bristol Bay",2018,"Rural Remote","Wind",0.404
"Bristol Bay",2018,"Rural Remote","Utility Solar",0
"Bristol Bay",2018,"Rural Remote","Rooftop Solar",0
"Bristol Bay",2018,"Rural Remote","Storage",0
"Bristol Bay",2018,"Rural Remote","Landfill Gas",0
"Bristol Bay",2021,"Rural Remote","Fossil Turbines",0
"Bristol Bay",2021,"Rural Remote","Recip Engines",40.2848
"Bristol Bay",2021,"Rural Remote","Hydro",1.027
"Bristol Bay",2021,"Rural Remote","Wind",0.414
"Bristol Bay",2021,"Rural Remote","Utility Solar",0
"Bristol Bay",2021,"Rural Remote","Rooftop Solar",0
"Bristol Bay",2021,"Rural Remote","Storage",0.125
"Bristol Bay",2021,"Rural Remote","Landfill Gas",0
"Copper River/Chugach",2011,"Coastal","Fossil Turbines",8.1
"Copper River/Chugach",2011,"Coastal","Recip Engines",30.044
"Copper River/Chugach",2011,"Coastal","Hydro",19.2
"Copper River/Chugach",2011,"Coastal","Wind",0
"Copper River/Chugach",2011,"Coastal","Utility Solar",0
"Copper River/Chugach",2011,"Coastal","Rooftop Solar",0
"Copper River/Chugach",2011,"Coastal","Storage",0
"Copper River/Chugach",2011,"Coastal","Landfill Gas",0
"Copper River/Chugach",2012,"Coastal","Fossil Turbines",8.1
"Copper River/Chugach",2012,"Coastal","Recip Engines",30.044
"Copper River/Chugach",2012,"Coastal","Hydro",19.2
"Copper River/Chugach",2012,"Coastal","Wind",0
"Copper River/Chugach",2012,"Coastal","Utility Solar",0
"Copper River/Chugach",2012,"Coastal","Rooftop Solar",0
"Copper River/Chugach",2012,"Coastal","Storage",0
"Copper River/Chugach",2012,"Coastal","Landfill Gas",0
"Copper River/Chugach",2013,"Coastal","Fossil Turbines",8.1
"Copper River/Chugach",2013,"Coastal","Recip Engines",30.044
"Copper River/Chugach",2013,"Coastal","Hydro",19.2
"Copper River/Chugach",2013,"Coastal","Wind",0
"Copper River/Chugach",2013,"Coastal","Utility Solar",0
"Copper River/Chugach",2013,"Coastal","Rooftop Solar",0
"Copper River/Chugach",2013,"Coastal","Storage",0
"Copper River/Chugach",2013,"Coastal","Landfill Gas",0
"Copper River/Chugach",2018,"Coastal","Fossil Turbines",8.1
"Copper River/Chugach",2018,"Coastal","Recip Engines",28.812
"Copper River/Chugach",2018,"Coastal","Hydro",25.7
"Copper River/Chugach",2018,"Coastal","Wind",0
"Copper River/Chugach",2018,"Coastal","Utility Solar",0
"Copper River/Chugach",2018,"Coastal","Rooftop Solar",0
"Copper River/Chugach",2018,"Coastal","Storage",0
"Copper River/Chugach",2018,"Coastal","Landfill Gas",0
"Copper River/Chugach",2021,"Coastal","Fossil Turbines",5.3
"Copper River/Chugach",2021,"Coastal","Recip Engines",30.41
"Copper River/Chugach",2021,"Coastal","Hydro",25.7
"Copper River/Chugach",2021,"Coastal","Wind",0
"Copper River/Chugach",2021,"Coastal","Utility Solar",0
"Copper River/Chugach",2021,"Coastal","Rooftop Solar",0
"Copper River/Chugach",2021,"Coastal","Storage",1
"Copper River/Chugach",2021,"Coastal","Landfill Gas",0
"Kodiak",2011,"Coastal","Fossil Turbines",0
"Kodiak",2011,"Coastal","Recip Engines",35.232
"Kodiak",2011,"Coastal","Hydro",22.875
"Kodiak",2011,"Coastal","Wind",4.5
"Kodiak",2011,"Coastal","Utility Solar",0
"Kodiak",2011,"Coastal","Rooftop Solar",0
"Kodiak",2011,"Coastal","Storage",0
"Kodiak",2011,"Coastal","Landfill Gas",0
"Kodiak",2012,"Coastal","Fossil Turbines",0
"Kodiak",2012,"Coastal","Recip Engines",35.232
"Kodiak",2012,"Coastal","Hydro",22.875
"Kodiak",2012,"Coastal","Wind",9
"Kodiak",2012,"Coastal","Utility Solar",0
"Kodiak",2012,"Coastal","Rooftop Solar",0
"Kodiak",2012,"Coastal","Storage",0
"Kodiak",2012,"Coastal","Landfill Gas",0
"Kodiak",2013,"Coastal","Fossil Turbines",0
"Kodiak",2013,"Coastal","Recip Engines",35.232
